,name,code,population
75,bolesławiecki,t0201,90293
99,dzierżoniowski,t0202,100490
124,głogowski,t0203,88929
123,górowski,t0204,34759
134,jaworski,t0205,50000
135,jeleniogórski,t0206,63241
138,kamiennogórski,t0207,43040
167,kłodzki,t0208,157224
169,legnicki,t0209,55288
179,lubański,t0210,54140
181,lubiński,t0211,105911
183,lwówecki,t0212,45455
190,milicki,t0213,37037
216,oleśnicki,t0214,107296
230,oławski,t0215,76923
243,polkowicki,t0216,63050
290,strzeliński,t0217,43478
365,średzki,t0218,55372
368,świdnicki,t0219,156463
313,trzebnicki,t0220,85366
318,wałbrzyski,t0221,55422
327,wołowski,t0222,46729
328,wrocławski,t0223,154105
348,ząbkowicki,t0224,64220
345,zgorzelecki,t0225,88586
349,złotoryjski,t0226,43344
17,Jelenia Góra,t0261,78762
25,Legnica,t0262,99187
56,Wrocław,t0264,643617
55,Wałbrzych,t0265,110772
61,aleksandrowski,t0401,54927
77,brodnicki,t0402,78992
83,bydgoski,t0403,119388
86,chełmiński,t0404,51845
110,golubsko-dobrzyński,t0405,44932
119,grudziądzki,t0406,40198
128,inowrocławski,t0407,159249
175,lipnowski,t0408,65702
194,mogileński,t0409,45495
201,nakielski,t0410,86166
262,radziejowski,t0411,40254
269,rypiński,t0412,43447
300,sępoleński,t0413,40865
372,świecki,t0414,98974
312,toruński,t0415,108995
314,tucholski,t0416,48341
333,wąbrzeski,t0417,34122
337,włocławski,t0418,85938
376,żniński,t0419,70060
3,Bydgoszcz,t0461,346654
14,Grudziądz,t0462,94027
52,Toruń,t0463,201066
57,Włocławek,t0464,109317
65,bialski,t0601,110465
73,biłgorajski,t0602,100554
87,chełmski,t0603,77922
127,hrubieszowski,t0604,62500
130,janowski,t0605,45455
156,krasnostawski,t0606,62992
157,kraśnicki,t0607,95035
178,lubartowski,t0608,88180
180,lubelski,t0609,155794
362,łęczyński,t0610,57292
359,łukowski,t0611,106719
221,opolski,t0612,58824
234,parczewski,t0613,34598
254,puławski,t0614,112965
263,radzyński,t0615,58608
268,rycki,t0616,55858
369,świdnicki,t0617,71828
310,tomaszowski,t0618,82308
338,włodawski,t0619,38191
341,zamojski,t0620,106007
0,Biała Podlaska,t0661,57260
5,Chełm,t0662,61606
27,Lublin,t0663,339667
59,Zamość,t0664,63307
112,gorzowski,t0801,72095
159,krośnieński,t0802,54688
192,międzyrzecki,t0803,57377
208,nowosolski,t0804,85973
302,słubicki,t0805,46875
289,strzelecko-drezdenecki,t0806,48829
292,sulęciński,t0807,35144
371,świebodziński,t0808,55556
346,zielonogórski,t0809,75697
374,żagański,t0810,78712
375,żarski,t0811,95792
330,wschowski,t0812,38732
13,Gorzów Wielkopolski,t0861,123263
60,Zielona Góra,t0862,141220
64,bełchatowski,t1001,112735
161,kutnowski,t1002,96070
353,łaski,t1003,50000
361,łęczycki,t1004,49587
358,łowicki,t1005,77844
360,łódzki wschodni,t1006,72447
220,opoczyński,t1007,75893
232,pabianicki,t1008,119134
233,pajęczański,t1009,51020
237,piotrkowski,t1010,91295
241,poddębicki,t1011,41121
261,radomszczański,t1012,112211
265,rawski,t1013,48469
276,sieradzki,t1014,117460
279,skierniewicki,t1015,38180
311,tomaszowski,t1016,116147
322,wieluński,t1017,76613
323,wieruszowski,t1018,42105
343,zduńskowolski,t1019,66414
344,zgierski,t1020,166276
80,brzeziński,t1021,30803
352,Łódź,t1061,677758
34,Piotrków Trybunalski,t1062,72853
44,Skierniewice,t1063,47945
74,bocheński,t1201,107209
78,brzeski,t1202,93248
91,chrzanowski,t1203,124346
100,dąbrowski,t1204,59130
111,gorlicki,t1205,108696
154,krakowski,t1206,280720
174,limanowski,t1207,132275
187,miechowski,t1208,48626
198,myślenicki,t1209,127604
209,nowosądecki,t1210,217391
210,nowotarski,t1211,193939
217,olkuski,t1212,111111
231,oświęcimski,t1213,153383
245,proszowicki,t1214,43103
293,suski,t1215,84180
307,tarnowski,t1216,201597
308,tatrzański,t1217,68136
316,wadowicki,t1218,160096
321,wielicki,t1219,130129
23,Kraków,t1261,781213
29,Nowy Sącz,t1262,83624
51,Tarnów,t1263,108197
66,białobrzeski,t1401,33333
92,ciechanowski,t1402,89186
104,garwoliński,t1403,109023
113,gostyniński,t1404,44818
117,grodziski,t1405,96698
122,grójecki,t1406,98168
150,kozienicki,t1407,59819
168,legionowski,t1408,119424
176,lipski,t1409,33670
357,łosicki,t1410,30581
185,makowski,t1411,44776
193,miński,t1412,155012
200,mławski,t1413,72437
205,nowodworski,t1414,79401
226,ostrołęcki,t1415,88596
224,ostrowski,t1416,72131
229,otwocki,t1417,124417
235,piaseczyński,t1418,189418
257,płocki,t1419,111111
258,płoński,t1420,86792
247,pruszkowski,t1421,166575
248,przasnyski,t1422,52315
251,przysuski,t1423,41298
255,pułtuski,t1424,51843
260,radomski,t1425,152431
274,siedlecki,t1426,81206
277,sierpecki,t1427,51746
280,sochaczewski,t1428,85050
281,sokołowski,t1429,53619
299,szydłowiecki,t1430,39427
317,warszawski zachodni,t1432,119552
336,węgrowski,t1433,65728
326,wołomiński,t1434,251402
332,wyszkowski,t1435,74359
347,zwoleński,t1436,36021
377,żuromiński,t1437,38462
378,żyrardowski,t1438,75585
32,Ostrołęka,t1461,51836
37,Płock,t1462,119005
38,Radom,t1463,210948
42,Siedlce,t1464,78387
54,Warszawa,t1465,1793947
79,brzeski,t1601,89725
125,głubczycki,t1602,45333
163,kędzierzyńsko-kozielski,t1603,93501
143,kluczborski,t1604,65306
155,krapkowicki,t1605,63492
202,namysłowski,t1606,42748
212,nyski,t1607,135350
215,oleski,t1608,64205
222,opolski,t1609,124260
246,prudnicki,t1610,55556
288,strzelecki,t1611,74194
31,Opole,t1661,127992
72,bieszczadzki,t1801,21605
81,brzozowski,t1802,65502
101,dębicki,t1803,135227
132,jarosławski,t1804,119874
133,jasielski,t1805,113086
144,kolbuszowski,t1806,62315
160,krośnieński,t1807,111991
172,leżajski,t1808,69277
177,lubaczowski,t1809,54859
354,łańcucki,t1810,81134
188,mielecki,t1811,136735
204,niżański,t1812,66478
249,przemyski,t1813,73770
250,przeworski,t1814,78153
266,ropczycko-sędziszowski,t1815,74705
270,rzeszowski,t1816,169935
272,sanocki,t1817,94259
283,stalowowolski,t1818,106095
291,strzyżowski,t1819,61162
305,tarnobrzeski,t1820,52922
170,leski,t1821,26415
24,Krosno,t1861,46168
36,Przemyśl,t1862,60489
41,Rzeszów,t1863,196903
50,Tarnobrzeg,t1864,46564
62,augustowski,t2001,57884
68,białostocki,t2002,150335
69,bielski,t2003,54170
116,grajewski,t2004,46967
126,hajnowski,t2005,42321
145,kolneński,t2006,37983
356,łomżyński,t2007,50874
195,moniecki,t2008,40222
273,sejneński,t2009,19950
275,siemiatycki,t2010,43807
282,sokólski,t2011,66265
294,suwalski,t2012,35581
331,wysokomazowiecki,t2013,56543
340,zambrowski,t2014,43478
1,Białystok,t2061,297593
351,Łomża,t2062,62772
47,Suwałki,t2063,69692
84,bytowski,t2201,79007
89,chojnicki,t2202,97629
96,człuchowski,t2203,55743
105,gdański,t2204,119377
140,kartuski,t2205,140727
153,kościerski,t2206,72878
162,kwidzyński,t2207,83100
184,lęborski,t2208,66070
186,malborski,t2209,63363
206,nowodworski,t2210,35484
253,pucki,t2211,87143
304,słupski,t2212,98745
286,starogardzki,t2213,128173
309,tczewski,t2214,115636
320,wejherowski,t2215,218641
298,sztumski,t2216,41148
10,Gdańsk,t2261,471591
11,Gdynia,t2262,245863
49,Słupsk,t2263,90296
45,Sopot,t2264,35563
85,będziński,t2401,147651
70,bielski,t2402,166362
93,cieszyński,t2403,177722
95,częstochowski,t2404,134304
107,gliwicki,t2405,115656
166,kłobucki,t2406,84459
182,lubliniecki,t2407,76289
189,mikołowski,t2408,99133
197,myszkowski,t2409,70724
252,pszczyński,t2410,111864
259,raciborski,t2411,107692
267,rybnicki,t2412,78189
306,tarnogórski,t2413,140808
71,bieruńsko-lędziński,t2414,59937
324,wodzisławski,t2415,156627
342,zawierciański,t2416,117257
379,żywiecki,t2417,152344
2,Bielsko-Biała,t2461,170213
4,Bytom,t2462,164524
6,Chorzów,t2463,107374
7,Częstochowa,t2464,219388
8,Dąbrowa Górnicza,t2465,118984
12,Gliwice,t2466,178195
15,Jastrzębie-Zdrój,t2467,88300
16,Jaworzno,t2468,90909
19,Katowice,t2469,291712
28,Mysłowice,t2470,74646
33,Piekary Śląskie,t2471,54813
39,Ruda Śląska,t2472,136691
40,Rybnik,t2473,137667
43,Siemianowice Śląskie,t2474,66667
46,Sosnowiec,t2475,198925
364,Świętochłowice,t2476,49307
53,Tychy,t2477,127049
58,Zabrze,t2478,171875
373,Żory,t2479,62500
82,buski,t2601,71429
136,jędrzejowski,t2602,85106
141,kazimierski,t2603,33473
142,kielecki,t2604,211180
147,konecki,t2605,79470
219,opatowski,t2606,51881
223,ostrowiecki,t2607,108434
239,pińczowski,t2608,38652
271,sandomierski,t2609,76843
278,skarżyski,t2610,73583
284,starachowicki,t2611,89021
287,staszowski,t2612,71429
339,włoszczowski,t2613,45016
20,Kielce,t2661,194175
63,bartoszycki,t2801,56901
76,braniewski,t2802,40929
98,działdowski,t2803,64979
102,elbląski,t2804,56872
103,ełcki,t2805,91613
106,giżycki,t2806,56472
129,iławski,t2807,92840
165,kętrzyński,t2808,62053
173,lidzbarski,t2809,41009
196,mrągowski,t2810,49616
203,nidzicki,t2811,32748
207,nowomiejski,t2812,43767
214,olecki,t2813,34091
218,olsztyński,t2814,127188
228,ostródzki,t2815,103874
238,piski,t2816,55935
297,szczycieński,t2817,69266
115,gołdapski,t2818,26600
335,węgorzewski,t2819,22560
9,Elbląg,t2861,118952
30,Olsztyn,t2862,171864
88,chodzieski,t3001,46980
94,czarnkowsko-trzcianecki,t3002,86829
108,gnieźnieński,t3003,145513
114,gostyński,t3004,75862
118,grodziski,t3005,51893
131,jarociński,t3006,71429
137,kaliski,t3007,83333
164,kępiński,t3008,56376
146,kolski,t3009,86420
148,koniński,t3010,130125
152,kościański,t3011,79167
158,krotoszyński,t3012,77220
171,leszczyński,t3013,57569
191,międzychodzki,t3014,36474
211,nowotomyski,t3015,75640
213,obornicki,t3016,59748
225,ostrowski,t3017,161392
227,ostrzeszowski,t3018,55484
236,pilski,t3019,135849
240,pleszewski,t3020,62907
244,poznański,t3021,403488
264,rawicki,t3022,60241
303,słupecki,t3023,58943
295,szamotulski,t3024,91581
366,średzki,t3025,59016
367,śremski,t3026,61392
315,turecki,t3027,83832
334,wągrowiecki,t3028,70254
325,wolsztyński,t3029,57592
329,wrzesiński,t3030,78224
350,złotowski,t3031,69430
18,Kalisz,t3061,100000
21,Konin,t3062,73171
26,Leszno,t3063,63191
35,Poznań,t3064,534204
67,białogardzki,t3201,47473
90,choszczeński,t3202,48041
97,drawski,t3203,56837
109,goleniowski,t3204,82445
120,gryficki,t3205,60039
121,gryfiński,t3206,81553
139,kamieński,t3207,46875
151,kołobrzeski,t3208,79384
149,koszaliński,t3209,66398
199,myśliborski,t3210,65421
242,policki,t3211,81229
256,pyrzycki,t3212,39245
301,sławieński,t3213,55980
285,stargardzki,t3214,120293
296,szczecinecki,t3215,77362
370,świdwiński,t3216,46587
319,wałecki,t3217,52632
355,łobeski,t3218,36513
22,Koszalin,t3261,106861
48,Szczecin,t3262,400844
363,Świnoujście,t3263,40915
